"Prioritization","contact_tracing_frac","replication","inf_p_shift","contact_tracing_contact_selection_frac","n_days_contact_tracing_isolation","n_infected","n_icu","n_contacts_traced","n_times_contact_tracing","n_times_contact_traced"
"Young",0,"m488-young-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,20510,817,0,0,0
"Young",0.1,"m515-young-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,18010,748,3033,466,2567
"Young",0.2,"m542-young-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,10465,424,5894,780,5114
"Random",0.2,"m56-random-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,7284,280,5430,771,4659
"Young",0.3,"m569-young-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,6001,272,5584,736,4848
"Young",0.4,"m596-young-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,4453,165,5679,762,4917
"Young",0.5,"m623-young-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2754,108,4084,539,3545
"Age",0,"m650-age-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,19752,777,0,0,0
"Age",0.1,"m677-age-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,13118,525,3257,508,2749
"Age",0.2,"m704-age-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,5584,216,4065,503,3562
"Age",0.3,"m731-age-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2595,111,3214,422,2792
"Age",0.4,"m758-age-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2237,91,3080,415,2665
"Age",0.5,"m785-age-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,1194,66,1587,221,1366
"HH",0,"m812-household_size-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,19481,769,0,0,0
"Random",0.3,"m83-random-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,6116,252,6460,931,5529
"HH",0.1,"m839-household_size-0.1-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,14890,571,3891,458,3433
"HH",0.2,"m866-household_size-0.2-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,8071,352,4018,526,3492
"HH",0.3,"m893-household_size-0.3-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2064,99,1719,228,1491
"HH",0.4,"m920-household_size-0.4-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,2530,97,2760,348,2412
"HH",0.5,"m947-household_size-0.5-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,1236,46,1523,194,1329
"Inc. emp.",0,"m974-inc_rank_emp-0-individuals-weight-0.6-ill_symptomatic-5-0.05",0.05,0.6,5,19675,774,0,0,0
"Inc. emp.",0.1,"m1008-inc_rank_emp-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,3277,121,1158,127,1031
"Inc. emp.",0.2,"m1035-inc_rank_emp-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1565,50,1659,154,1505
"Inc. emp.",0.3,"m1062-inc_rank_emp-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1410,45,1793,173,1620
"Inc. emp.",0.4,"m1089-inc_rank_emp-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,931,34,1099,105,994
"Inc. emp.",0.5,"m1116-inc_rank_emp-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,614,24,587,58,529
"Inc. sim.",0,"m1143-inc_rank_sim-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,4759,198,0,0,0
"Random",0.4,"m117-random-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,903,45,1065,113,952
"Inc. sim.",0.1,"m1170-inc_rank_sim-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2673,114,860,101,759
"Inc. sim.",0.2,"m1197-inc_rank_sim-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1282,45,925,90,835
"Inc. sim.",0.3,"m1224-inc_rank_sim-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,911,35,1124,115,1009
"Inc. sim.",0.4,"m1251-inc_rank_sim-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,869,36,1139,121,1018
"Inc. sim.",0.5,"m1278-inc_rank_sim-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,629,30,745,75,670
"Random",0.5,"m144-random-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,964,43,1267,141,1126
"Age+HH",0,"m171-super-spreaders-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,4632,154,0,0,0
"Age+HH",0.1,"m198-super-spreaders-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2362,102,1221,118,1103
"Age+HH",0.2,"m225-super-spreaders-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1159,53,1020,101,919
"Age+HH",0.3,"m252-super-spreaders-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,749,38,722,77,645
"Age+HH",0.4,"m279-super-spreaders-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,683,36,769,76,693
"Age+HH",0.5,"m306-super-spreaders-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,589,25,599,63,536
"Old",0,"m333-old-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,4530,154,0,0,0
"Random",0.1,"m36-random-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2228,96,982,107,875
"Old",0.1,"m360-old-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,4270,162,529,86,443
"Old",0.2,"m387-old-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,3888,170,991,160,831
"Old",0.3,"m414-old-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1770,58,974,131,843
"Old",0.4,"m441-old-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1378,55,1087,141,946
"Old",0.5,"m468-old-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1031,37,1232,144,1088
"Young",0,"m495-young-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,4149,146,0,0,0
"Young",0.1,"m522-young-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2828,111,559,67,492
"Young",0.2,"m549-young-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2896,111,2026,213,1813
"Young",0.3,"m576-young-0.3-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1468,55,1445,149,1296
"Young",0.4,"m603-young-0.4-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,983,44,1094,115,979
"Random",0.2,"m63-random-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1974,73,1605,179,1426
"Young",0.5,"m630-young-0.5-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,790,35,953,106,847
"Age",0,"m657-age-0-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,4927,164,0,0,0
"Age",0.1,"m684-age-0.1-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,2863,136,691,87,604
"Age",0.2,"m711-age-0.2-individuals-weight-0.8-ill_symptomatic-5--0.05",-0.05,0.8,5,1678,59,1029,97,932
